position,company,description,numreview,location,city
Manager of Analytics - Data Scientist,Network ESC,"POSITION SUMMARYThis role interfaces across the organization to answer challenging analytical questions related to the performance metrics of the Sales Organization.This position will provide creative solutions to help solve complex business problemsusing advanced analytical techniqueswhile leveraging both internal and external data sources.The role will provide the candidate with an exceptionally broad view of every aspect of the business and serve as critical support for Senior Management and Regional / Area Leaders.This position requires a candidate who is comfortable thinking independently about solving business problems.To be successful the ideal candidate will demonstrate a thirst for knowledge and natural curiosity that facilitates rapid learning of company's business model and our data infrastructure at a scale that supports a growing $2b region. Analysts will produce insightful analytic data modelsand visualizations depicting sales force Performance,Optimization opportunitiesand proactive directionfor our Sales Organization).Candidates must be self-motivated, detail-oriented, have the ability to work with limited supervision and must be comfortable in an environment of changing priorities.The 600+ strong Sales Force is highly dependent on the support, communicationand trainingprovided by this role, communication and problem solving abilities are crucial with an expectation of being highly innovative to automate many tasks manually completed todayPOSITION RESPONSIBILITIES.Understand and use statistical predictive modelssuch as regression and time series models to identify trends, make forecasts and provide projected figuresDevelop new Dashboards and Self-Serve capabilities that proactively enable the Field Force, positioning data to leaders for Sales optimization and Performance ManagementExplore Microsoft Azure Cognitive Services such as Search, Voice, Facial etc. to deploy innovative AI solutions to drive efficiency through the use of Bots and self-serve solutionsPerform machine learning, natural language, such as classification, collaborative filtering, association rules, sentiment analysis and topic modelingDrive initiativesfocused on Big Data and Advanced Business Analytics, in diverse domains such as product sales, marketing research, pricing; communicate results and educate others through reports and presentationsORGANIZATIONAL RELATIONSHIPSInternal: CoE BA/SP/MR teamCommercial Leadership (US)Species peers (US)EDUCATION AND EXPERIENCEMastersfrom an accredited college/university in Computer Science, Statistics, Mathematics, with a minimum of two years of relevant experience 2 years of professional experience working as a Data ScientistMicrosoft AzureÅEÄÅE Machine Learning Studio, HD Insight,Proficiency in analysis ÅEÄÅE ÅEÄÅERÅEÄÅE packages, programming languages (Python)Tableau CertificationÅEÄÅE Developer / AdministratorStrong knowledge in the following fields: machine learning, data visualization, statistical modeling, data mining and information retrievalStrong analytical mind and in-depth understanding of key business driveStrong interpersonal skills and excellent written and verbal communication skillsFluency in English requiredExperience with command-line scripting, data structures and algorithms and ability to work with SQL Server, processing large amounts of data in a cloud environmentTECHNICAL SKILLS REQUIREMENTS¬",0 reviews,"Troy Hills, NJ",New York
"Instagram - Software Engineer, Machine Learning",Facebook,"Over a billion people use Instagram, which means jobs here offer countless ways to make an impact in a fast growing organization. Instagram was built to connect people to the people and interests they love. Our app has played a critical part in forming meaningful communities where people can connect with each other and share what matters most to them.
Instagram is seeking Machine Learning Engineers to help build and optimize our rapidly growing network. Our mission at Instagram is to strengthen relationships through shared experiences. The ideal candidate will have industry experience working on a range of classification and optimization problems, e.g. click-through rate prediction, click-fraud detection, image recognition, search ranking, text/sentiment classification, collaborative filtering/recommendation, or spam detection. If you are excited about building great product and pioneering new uses for machine learning, come join us in our New York City office.
RESPONSIBILITIES

Develop highly scalable classifiers and tools leveraging machine learning, data regression, and rules based models

Suggest, collect and synthesize requirements and create effective feature roadmap

Apply expert software development skills to a wide range of ML-related coding projects

Adapt standard machine learning methods to best exploit modern parallel environments (e.g. distributed clusters, multicore SMP, and GPU)
MINIMUM QUALIFICATIONS

MS degree in Computer Science or related quantitative field with 5+ years of relevant experience or Ph.D degree in Computer Science or related quantitative field

Experience in one or more of the following areas: machine learning, recommendation systems, pattern recognition, large-scale data mining or artificial intelligence.

Proven ability to translate insights into business recommendations

Experience with Hadoop/Hbase/Pig or MapReduce/Sawzall/Bigtable

Knowledge in developing and debugging in C/C++ and Java

Experience with scripting languages such as Perl, Python, PHP, and shell scripts

Experience with filesystems, server architectures, and distributed systems",366 reviews,"New York, NY",New York
Decision Scientist - Associate - CIB Treasury Services,JP Morgan Chase,"Who we are

We are a new and rapidly growing team of change agents inside J.P. Morgan. We are data scientists, design strategists and business leaders set on creating and building data products that transform the way we and our clients do business - balancing the art of decision making with science.

What we build will matter and have huge impact; our products and solutions will reach thousands of our clients around the world, and affect how J.P. Morgan does business, moving trillions of dollars a day. Our group will also work closely with FinTech teams to find emerging tech companies that can help us accelerate development of new products.

Why join?

New technologies, analytics and business models are emerging with the potential to radically transform financial services. You will be at the leading edge inside the company driving change.

You will:

Explore how money moves through our network and around the world. Turning data into insights to impact the strategy and direction of JPM products
Develop approaches for understanding each individual client and their behavior to deliver a continually improved experience
Invent creative and innovative ways to answer key business questions by leveraging existing data assets or creating new ones
Develop, plan and execute analytical projects as an individual contributor and in teams. Bring order to disparate requirements with high tolerance for ambiguity, very strong problem solving ability, and excellent client engagement skills
Collaborate with product managers, end users, developers, and other stakeholders to integrate data discoveries and processes into operational capabilities
Be a data storyteller, deliver practical data insights in a compelling manner to senior leadership. Articulate findings clearly and concisely including presentations, discussions and visualizations.
Develop deep subject matter expertise in the wide range domains in payments and liquidity to support a diverse set of products
Who you are

Quantitative background ˚Ä˚ Advanced degree in analytical field (e.g. econometrics, statistics, computer science). 4+ years relevant experience. Understanding of statistics, optimization and machine learning methodologies. Ideally experienced with large scale graph inference. Mastery of software design principles and development skills using Python
Hybrid at your core - Part statistician, part computer scientist, part researcher, looking for order and patterns in data. This is an incredible opportunity for hybrid thinkers that love to learn and synthesize in a high-performing culture.
Analytical thought leader - You can define the analytical agenda for projects, frame ambiguous business questions into analytical plans (e.g., assess data needs, source files, prepare data, create new features, evaluate quality, etc.), and execute.
Cognitive and Communications Skill - Highly articulate, built upon an underlying fundamental clarity of thought. General ability to root out fundamental issues, bring order from chaos, synthesize elegant insights, and drive to clear decisions.
Leadership - Primary focus of building something of significance. Willingness to roll up sleeves and do whatever it takes. Self-confidence, poise, and personal presence that inspires confidence in others. Charisma, gravitas, intellect, flexibility, and integrity that motivates others to trust, collaborate","20,319 reviews","New York, NY 10179 ",New York
Environmental Scientist/Geologist/Engineer,GEI Consultants Inc,"GEI Consultants, Inc . is a leading consulting engineering and environmental firm ranked #92 in the ENR top 500 (2018). We serve hundreds of government, energy, industry and institutional clients, and have completed 50,000 project engagements throughout the United States, Canada, and more than 20 other countries.

GEI, a privately held employee owned company, was founded nearly 50 years ago by five engineering pioneers. GEI now consists of over 800 employees in multiple offices throughout the U.S. and Canada. Our technical experts are involved in dozens of specialty services emanating from our core solutions in water, energy, buildings, infrastructure and industrial. Our technical experts are some of the most innovative and leading subject matter experts in their respective fields. We continue to grow and expand in our solutions, expertise and geography to ensure we can continue providing valuable solutions to our clients.

Our culture is one where we encourage employees to respectfully and thoughtfully challenge current practices for continual improvement. We believe this constructive engagement helps us evolve in an ever-changing business environment and will strengthen our organization in the future. Our practices reflect our commitment to a collaborative teaming approach, encouraging diverse perspectives which lead to innovation and value added solutions that fuel our success. Our committed employees work hard for our clients and in support of one another. In return we invest in a culture with engaging learning and career development opportunities, a competitive total rewards package, recognition, and the opportunity for some fun along the way.

Job Description

GEI s Bloomfield, New Jersey office is seeking an Environmental Scientist, Geologist, or Engineer with at least four years of relevant experience beyond a college degree. Under supervision of senior staff, this individual will provide support to ongoing office and field work.

Office tasks may include: review and interpretation of data and preparation of reports and work plans; task and project planning and management; assistance with business development and preparation of proposals; client, subcontractor and regulatory agency interaction; development and implementation of remedial strategies; and remedial design.

Field activities may include: observe and document performance of test borings and installation of groundwater monitoring and observation wells; collection of groundwater, surface water, sediment, soil, rock, soil vapor, and air samples; operation of air monitoring equipment; testing to evaluate groundwater aquifer characteristics; and remedial construction management. This is an excellent opportunity to learn from our senior staff and gain a wide range of experience.

Primary responsibilities:
Under supervision of the senior staff, candidates will work on a variety of environmental projects throughout the region, but primarily in Northern New Jersey.

Support environmental site assessments, remedial and pre-design investigations, test borings, well installations, environmental sampling of various media, aquifer testing, pilot tests, implementation of air monitoring programs, and technical oversight of subcontractors.

Assist Licensed Site Remediation Professionals in preparing reports and documentation according to the New Jersey regulations and guidance documents.

Conduct data management and analysis, prepare and review work plans and technical reports, and assist in preparation of presentations and proposals to clients and regulators.

Develop investigation and remedial strategies for various types of sites and contaminants, and collaborate in the design and installation of remediation systems.

Interact with subcontractors, clients and regulatory agency representatives.

Assist with proposals and business development activities.

Qualifications:
Bachelor s degree in Environmental Science, Geology or Engineering; M.S. is a plus.

A minimum of four years of relevant professional experience preferably in environmental consulting.

Excellent communication skills and technical report writing.

Willingness to travel on temporary assignments as needed.

Experience with software such as in AutoCAD, ArcGIS, EQuIS, Leapfrog Hydro, EVS, etc., is a plus.

40-hour HAZWOPER training - preferred.

Physical ability to perform field work in summer and winter conditions.

Valid U.S. driver s license.

Benefits:
Market-Competitive Compensation

Comprehensive Benefits Program, including Medical, Dental, Vision and More

Continuing Education Assistance and Tuition Reimbursement

Professional Development and Opportunities for Advancement

Paid Holidays and Paid Time Off

Rewards and Recognition

GEI-Funded Profit Sharing and 401(k)

And More˚Äf

Physical Job Requirements

Sedentary

Light

X

Medium

Other

Activity Level Throughout Workday

Physical Activity Requirements

Occasional

(0-35% of day)

Frequent

(33-66% of day)

Continuous

(67-100% of day)

Not Applicable

Sitting

1-2 hrs

Standing

6-8 hrs

Walking

3-5 hrs

Climbing

0-1 hrs

Lifting (floor to waist level) (in pounds)

0-30 lbs

Lifting (waist level and above) (in pounds)

0-10 lbs

Carrying objects

6-8 hrs

Push/pull

0-1 hrs

Twisting

1-2 hrs

Bending

3-5 hrs

Reaching forward

1-3 hrs

Reaching overhead

0-1 hrs

Squat/kneel/crawl

1-2 hrs

Wrist position deviation

1-2 hrs

Pinching/fine motor skills

2-3 hrs

Keyboard use/repetitive motion

1-2 hrs

Taste or smell (taste=never)

0-1 hrs

Talk or hear

6-8 hrs

Accurate 20/40

Very Accurate 20/20

Not Applicable

Near Vision

X

Far Vision

X

Yes

No

Not Applicable

Color Vision (ability to identify and distinguish colors)

X

Sensory Requirements

Minimal

Moderate

Accurate

Not Applicable

Depth perception

X

Hearing

X

Environmental Requirements

Occupational Exposure Risk Potential

Reasonably Anticipated

Not Anticipated

Blood borne pathogens

X

Chemical

X

Airborne communicable diseases

X

Extreme temp",16 reviews,"Bloomfield, NJ",New York
Deputy Director for Child Welfare Reporting,NYC Administration for Children's Services,"Job Description


The Deputy Director for Child Welfare Reporting will report to the Executive Director of the Justice Analytics and Child Welfare Reporting Unit within the Office of Research and Analysis. The Deputy Director will manage a team of analysts and will be responsible for developing, producing, and distributing a wide variety of ongoing and ad hoc management reports related to preventive services, child protection and foster care services. A partial list of ongoing reports includes the Mayor˚Ä˚s Management Report, ACS FLASH, ACS Strategic Management Report, and the ACS Quarterly Report to City Council on Child Welfare. This position offers wide latitude to contribute to key accountability mechanisms at the agency and exposure to policy makers in the child welfare sector. Responsibilities include:

Perform analytic tasks using individual/case level data and aggregate data. This will include developing analytic plans, querying data, conducting statistical analyses and developing reports.Lead the development, production, and distribution of management and ad hoc reports in a timely manner. This will include drafting comprehensive reports and/or summary write-ups and graphic summaries of key issues and findings.Serve as key data manager for child welfare reportsProvide data analysis support to other units within the Division of Policy Planning and Measurement and other ACS units.Coordinate research activities with government, community partners and consultants. Serve as a liaison with the Divisions of Child Protection, Family Permanency Services and Preventive Services as well as external organizations such as the Center for Innovation in Data Intelligence and the Mayor's Office of Data Analytics.Supervise a team of 2 to 4 management report analysts.



Minimum Qual Requirements


1. For Assignment Level I (only physical, biological and environmental sciences and public health) A master's degree from an accredited college or university with a specialization in an appropriate field of physical, biological or environmental science or in public health.

To be appointed to Assignment Level II and above, candidates must have:

1. A doctorate degree from an accredited college or university with specialization in an appropriate field of physical, biological, ""nvironmental or social science and one year of full-time experience in a responsible supervisory, administrative or research capacity in the appropriate field of specialization; or

2. A master's degree from an accredited college or university with specialization in an appropriate field of physical, biological, environmental or social science and three years of responsible full-time research experience in the appropriate field of specialization; or

3. Education and/or experience which is equivalent to ""1"" or ""2"" above. However, all candidates must have at least a master's degree in an appropriate field of specialization and at least two years of experience described in ""2"" above. Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above.


NOTE:

Probationary Period

Appointments to this position are subject to a minimum probationary period of one year.



Preferred Skills


Critical to this position is strong analytical thinking, written communication and data visualization skills. The preferred candidate should possess: (1) experience conducting descriptive and multivariate statistical analyses using large administrative databases; (2) proficiency with SPSS (or other similar statistical software) and Oracle SQL; (3) proficiency using ArcGIS and/or data visualization software; (4) experience with City government and particularly with policy and operational aspects of the child welfare system a plus;



Additional Information


Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.

Job Vacancy Notice has been reposted. Previous applicants do not need to reapply.

The City of New York and the Administration for ChildrenÅEÄÅEs Services are Equal Opportunity Employers",159 reviews,"Manhattan, NY",New York
"Azure Data Scientist, Manager",KPMG,"Innovate. Collaborate. Shine. Lighthouse ˚Ä˚ KPMG's Center of Excellence for Advanced Analytics ˚Ä˚ has both applied data science, AI, and big data architecture capabilities. Here, you˚Ä˚ll work with a diverse team of sophisticated data and analytics professionals to explore solutions for clients in a platform-diverse environment. This means your ability to find answers is limited only by your creativity in leveraging a vast array of techniques and tools. Be a part of a high-energy, diverse, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. For you, that translates into the chance to work on a wide range of projects ˚Ä˚ covering technologies and solutions from AI to optimization ˚Ä˚ and the power to have a real impact in the business world. So, bring your creativity and pioneering spirit to KPMG Lighthouse.
KPMG is currently seeking an Azure Data Scientist to join KPMG Lighthouse - Center of Excellence for
Advanced Analytics.
Responsibilities:
Passion for solving previously unsolvable business problems through the innovative combination of data and new AI cloud technologies
Manage complex engagements, mentor others and interface with senior level management internally as well as with clients and support project leaders in tracking and communicating project risks, budget, rates, and launch/closeout activities, including the administration of work papers and collaboration sites
Analyze and model structured data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine learning, data mining, econometrics, and operations research
Perform Statistical Natural Language Processing to mine unstructured data, using methods such as document clustering, topic analysis, named entity recognition, document classification, and sentiment analysis
Utilize a diverse array of Microsoft Azure and open source technologies and tools as needed, to deliver insights, such as R, Python, Azure Machine Learning, Azure Search, Azure R/Machine Learning Server, Azure Cognitive Services and Azure Bot Framework & Services
Help drive client engagements focused on Big Data and advanced business analytics, in diverse domains such as risk management, product development, marketing research, supply chain, public policy; communicate results and educate others through reports and presentations
Qualifications:
A minimum of seven years of professional experience working as a Data Scientist
Master's, or PhD in Computer Science, Statistics, Mathematics, Engineering, Econometrics, or related fields from an accredited college or university
Strong mathematical background with strong knowledge in at least one of the following fields: statistics, data mining, machine learning, statistics, operations research, econometrics, natural language processing, and/or information retrieval and experience with command-line scripting, data structures, and algorithms; ability to work in a Linux environment
Proficiency in analysis (e.g. R, Azure Machine Learning) packages as well as proficiency in programming languages (e.g. Python, .NET, Ruby, Java, and Scala)
Ability to travel up to eighty percent of the time
Applicants must be currently authorized to work in the United States without the need for visa","4,491 reviews","New York, NY 10154 ",New York
"Lead Data Science Instructor, Principal Data Scientist",Galvanize,"Vision and Values:

Galvanize is a dynamic learning community for technology. Our community is where people and companies with the guts and smarts to create real-world change congregate and inspire each other. Our goal is to make opportunities in technology available to all those with the aptitude, determination and drive. Across our 8 beautifully designed urban campuses, we offer a unique combination of education, workspace, and networking.

Galvanize campuses are not simply places to work; they are environments of active engagement, learning and growth. Our Data Science Instructors train technical professionals with programming experience to solve data science problems utilizing innovative educational techniques. We are looking for passionate educators and practical problem solvers with demonstrated flexibility and curiosity. Join us in building the world's hub for education in data science and data engineering.
As a Data Science instructor at Galvanize, you will:
Deliver lectures and tutorials on scientific Python, SQL, probability, statistics (Bayesian and frequentist), machine learning, and data engineering.
Lead day-long ˚Ä˚sprints,˚Ä˚ maintaining a strong presence in the classroom and managing other instructional staff.
Deftly and patiently field student questions and provide feedback in lectures and office hours.
Build and refine data science curriculum and assignments.
Utilize student feedback and experimentation to continuously improve teaching and assessment methods.
Evaluate new tools, packages, and tutorials for use in the curriculum.
Contribute to local evangelism, admissions, and nurture activities, such as attendance at meetups, speaking at conferences, leading workshops (day time and/or evening), etc.
Professional Development:
At Galvanize, we strive to provide meaningful professional development opportunities to all of our employees. Here are just a few of the ways you will continue to grow and ˚Ä˚level-up˚Ä˚ as a data scientist and a teacher:
There˚Ä˚s no better way to learn than to teach! You˚Ä˚ll be amazed at how much you˚Ä˚ll develop skills you thought you were already an expert in just by helping students and planning lessons.
Opportunities to work with and learn from other data science and web development instructors in a highly collaborative and intellectually rich environment.
Previous projects have involved: Machine Learning, Deep Learning, Data Engineering and Architecture, Applied Statistics and Statistical Modeling.
Become the best instructor you can be with ongoing training and support.
Expected Experience:
Multiple years of experience in industry in a Data Scientist or Software Engineer role
Master's or PhD in a quantitative discipline such as engineering, statistics, or mathematics
Strong understanding in the topics we teach: scientific Python, probability, stat",10 reviews,"New York, NY 10013 ",New York
Quantitative Analyst - Equity Derivatives,UBS,"We are looking for an experienced quantitative analyst with proven track record an interest in:

˚Ä˚ developing, implementing, and testing risk and valuation models for equity derivatives

˚Ä˚ significant experience with current market standards for modeling equity volatility surfaces and/or volatility derivatives

˚Ä˚ the implementation of models in a large and complex library environment, including the necessary professional testing and documentation procedures.
You˚Ä˚ll be working in the Equities Quantitative Analytics team in New York. We are supporting our US Equity business with tailored solutions for their vanilla and exotic derivatives trading.

You have:
˚Ä˚ ideally a doctorate degree in finance, physics, mathematics, computer science, engineering or related

˚Ä˚ experience implementing mathematical models in front office systems and supporting the trading desk in risk assessment and product pricing

You are:
˚Ä˚ proficient using C++ and Python

˚Ä˚ capable of documenting any model development in a clear way
Expert advice. Wealth management. Investment banking. Asset management. Retail banking in Switzerland. And all the support functions. That's what we do. And we do it for private and institutional clients as well as corporations around the world.

We are about 60,000 employees in all major financial center","1,574 reviews","New York, NY",New York
Junior Research and Development Analyst,Construction Realty Services Group,"The mission of our Project Manager for Program Management Analysis is to participate in the ongoing process to improve the data collection and reporting mechanisms necessary to facilitate our company. In this role, you will be responsible for providing and evaluating analysis for strategic planning. You will utilize your ability to work in a team by providing analytical support to management.Responsibilities: Responsible for maintaining and overseeing reporting Protocol including distribution, archiving, and printing all reports sent to PMA as part of Daily, Weekly, and Monthly tasks.Work with President and Vice President to create additional reports or appendixes to better understand company financial and operational statistics.Work with each Operations Company to develop performance indicators and trends to foreshadow future business, workload, and pipeline.Perform an ongoing Operations Audit to create a Reporting Org Chart that will keep current detail on Reporting Personnel throughout the company.Create Financial Analysis Documents which include but are not limited to: Revenue, Profit, Expense AnalysisÅEÄÅEs each month after receiving financials from the Executive VP of Finance and Administration.Assemble Financial Analysis binders for company President each month and ensure accuracy to the furthest extent that you can ensure.Work with Operational Companies to create and implement effective Monthly Cover Sheets for all meetings highlighting important data such as manpower, job detail, workload, among other specifics that vary per company.Ensure the assembly of th",4 reviews,"Lynbrook, NY",New York
Quality Control Scientist,Wittaff Inc.,"QC SCIENTISTQC Scientist will be a member of the company Quality Control Department. The QC Department is responsible for the validation life cycle of quality control methods covering a wide array of techniques. The QC Scientist will be responsible for performing GMP laboratory testing in the areas of flow cytometry, cell viability. cell counting and sorting, endotoxin testing and additional bioassay related analysis. The QC Scientist will perform clinical laboratory tests according to effective Standard Operating Procedures and approved protocols including maintaining equipment and records by following Good Documentation practices. Quality Control Scientist will also lead and execute method qualification as a part of technical transfer activities from Product Development to the QC laboratory.Resgonsibilities: Support internal and external customers to ensure that proper and timely execution of all aspects of the clinical analytical method life cycle across company˚Ä˚s clients.Support routine GMP testing as assigned. Mentor and train team membersEvaluate corporate and regulatory requirements along with coordination of activities for implementation of these requirements.Write the contents of Analytical Method Transfer and Validation life cycle documentation including master plans, protocols, test methods, and reports.Create validation project plan i.e., timelines and resources and provides status updates to managementUtilize statistical tools for evaluation of method validation and trending data.Identify, evaluate. and implement continuous business process improvements.Perform troubleshooting activities with respect to methods/assays, equipment malfunctions and investigations (Deviations and DOS).Provide support during laboratory investigations.Train QC personnel during method transfer and validation Provide support during equipment qualification.Consistently produce high level of documentation accuracy and clarity according to cGMP documentation practices.Ability to set deadlines and prioritize work for self. group members, and support groups involved.Ability to review/approve work performed by coworkers for accuracy and alignment with procedures.Knowledge &* Experience: *BS in analytical chemistry or other scientific field with 8 years of experience in the areas of method development, validation, and transfer; or MS or Ph D. in Analytical Chemistry or other scientific field with demonstrated experience in Quality Control laboratories for biotechnology products.Direct GMP Experience, Proficiency in project management skills and toolsStrong background and in-depth knowledge in analytical chemistry eg. Flow Cytometry, ELISA, HPLC. CE, PCR, etc.Must have extensive knowledge and experience of QC assay development, transfer and validation, along with cGMPs.Strong Quality orientation with attention to detail required. Analytical and problem solving skills required.Excellent communication skills. both written and verbal, With all levels of the organization, including the ability to state opinions clearly, ask questions, seek clarification, communicate facts objectively, challenge when appropriate, and pursue issues to resolutionJob Type: Full-timeExperience:GMP: 1 yearFlow Cytometry: 1 yearAnalytical Chemistry: 5 ye",0 reviews,"Allendale, NJ",New York
Environmental Scientist,NV5,"Overview
NV5 (NASDAQ: NVEE) is a provider of professional and technical engineering and consulting solutions to public and private sector clients in the infrastructure, energy, construction, program management and environmental markets. NV5 is an ENR Top 500 firm; we offer a full range of professional services in offices throughout the U.S.

NV5 is a multidiscipline firm with Environmental Scientists, Geologists, Engineers, Planners and Architects dedicated to quality of life projects. This position provides excellent growth opportunity for candidates to work with a team of diverse professionals on variety of projects in the public and private sector. The candidate should have 2-3 years of experience. The candidate will initially be assigned to a specific project conducting field sampling and oversight activities located in the Central Jersey area. It is anticipated that the project will last for 10 months. After fieldwork is complete, the individual will be re-assigned to the Parsippany Office with the opportunity to work with different individuals on multiple projects.
Responsibilities
Familiar with the N.J.A.C. 7:26E, ˚Ä˚Technical Requirements for Site Remediation (TRSR), N.J.A.C. 7:26C ˚Ä˚Administrative Requirements for the Remediation of Contaminated Sites˚Ä˚ (ARRCS), NJDEP Field Sampling Procedures Manual (August 2005), and numerous NJDEP Guidance Documents
Support LSRP in the preparation of Site Investigation Reports, Remedial Investigation Workplans, Remedial Investigation Reports, Remedial Action Workplans, and Remedial Action Reports
Perform Phase I and II Environmental Site Assessments (ESA)
Field investigations of contaminated soil and groundwater
Oversight and assessment of drilling operations and classification of soils
Preparation of geological logs and groundwater contour maps
Sub slab and indoor air vapor intrusion sampling and data interpretation
Qualifications

Bacehor's Degree in Geology, Hydrogeology, Environmental Science or related discipline
Strong analytical and math skills
Strong written/verbal communication and organization/analytical skills
40-hour OSHA HAZWOPER training and recent 8-Hour Refresher
Must have a valid driver license
Limited travel required
Lifting up to 50 pounds

Additional Experience:
New York field sampling expe",7 reviews,"Parsippany, NJ",New York
Electron Microscopy Technician,Weill Cornell Medicine,"Performs diagnostic electron microscopic (EM) studies for the Renal Pathology service. This role also assists with the function and maintenance of electron microscopy facilities.



Job Responsibilities

Accessions specimens and performs triaging and gross division of renal and non-renal biopsies for Light Immunofluorescence and Electron Microscopy (EM).
Responsible for the daily calibration and alignment of electron microscope when utilized.
Files microscopy slides, tissue blocks (paraffin / resin), images and reports. Assists in retrieval of these for conferences and special studies.
Utilizes tissue processors, microtomes and various support equipment for the purpose of tissue processing, specimen sectioning and additional handling.
Prepares and maintains solutions, supplies, and ancillary material necessary for continued operation of the Electron Microscopy facility.
Carries out digital photography on cases. Transfers data to appropriate servers and media.
Ensures maintenance of laboratory standards in accordance with the College of American Pathologists and Joint Commission Hospital Accreditation.
Ensures that facilities and equipment are in optimal and proper working condition. Coordinates preventative maintenance and repairs as needed. May perform minor repairs if qualified and as needed. May advise on upgrades for performance enhancements.


Education

High School Diploma


Experience

Bachelor˚Ä˚s Degree in Biology or related science is preferred.
Approximately 1 year of electron microscopy and/or histological experience



Knowledge, Skills and Abilities

In lieu of chemical training and certification prior to hiring, training and certification will be a mandatory component to work in this laboratory.


Licenses and Certifications

NYS Laboratory Technician or Technologist license or training license


Working Conditions/Physical Demands

Must be fit tested and wear airborne respirators for hazardous chemicals when required; Ability to lift a minimum of 50lbs without assistance; Ability to wear Personal Protective Material when required; Ability to work with hazardous organic and inorganic chemicals Must be able to work with carcinogenic and mutagenic materials Will be required to work with Biological and Pathological Hazards associated with human and animal tissue These include, but are not limited to: blood, anatomical tissue, HIV, Hepatitis (all forms), additional pathogens not herein described; Will be required to work with sharp objects such as, but not limited to: knives, diamond knives, razor blades, large and fine point probes, fine point tweezers, additional potentially hazardous sharp material






Weill Cornell Medicine is a comprehensive academic medical center that's committed to excellence in patient care, scientific discovery, and the education of future physicians in New York City and around the world. Our doctors and scientists-faculty from Weill Cornell Medical College, Weill Cornell Graduate School of Medical Sciences, and the Weill Cornell Physician Organization-are engaged in world-class clinical care and cutting-edge research that connect patients to the latest treatment innovations and prevention strategies. Located in the heart of the Upper East Side's scientific corridor, Weill Cornell Medicine's powerful network of collaborators extends to its parent university Cornell University; to Qatar, where an international campus offers a U.S. medical degree; and to programs in Tanza",456 reviews,"New York, NY",New York
Cyber Analyst,UHY LLP,"Position Summary
UHY is on the forefront of leveraging data analytics to inform strategic decision-making and drive operational improvement across Cyber Security and Anti-Money Laundering. The Risk Advisory practice combines the talent of Cyber with deep expertise in machine learning and cyber security and AML analytics.

Tasks
You will work alongside teams of Cyber Analysts to analyze operational cyber and AML data, and transform your findings into interactive visualizations. You will work on a team composed of other developers, data scientists, and business analysts working in concert to deliver actionable business insights and recommendations.

As a Cyber Scientist at UHY, you will industrialize analysis covering the gamut of this fast changing field, from simple aggregations to more complex machine-learning algorithms. The architecture of your applications will feature sophisticated back-ends, ETL processes, cron-jobs, and batch-processed analysis, as well as interactive front-ends that intuitively communicate key understandings to end-users.


Skills
Intrusion Detection such as Symantec IDS
DDos Protection such as Akamai Prolexic
Firewall Monitoring
Data Loss Prevention such as McAfee DLP
e-Mail Encryption such as Voltage
e-mail AntiVirus such as McAfee Security
Security Management such as McAfee Security
Mobile Device Management such as Mobile Iron
Web Proxy / filtering such as Websense
Vulnerability Scanning such as AlientVault (OpenVAS)
Ticketing BMC such as Remedy
Asset Management such as BMC Discovery or TrackIT
Identity and Access management such as IBM IGI
Servers Desktop and VDI
F5 Local and GTM
Experience and Education
Significant coursework in a quantitative or computational field such as Computer Science, Applied Mathematics, Statistics, Operations Research, or Engineering
Aptitude for infrastructure architecture and database design
Demonstrated proficiency in computational tools, e.g. Python, R, Java, C++, MATLAB, SAS, or JavaScript/HTML in an academic or professional environment
Skills in or familiarity with data cleaning, natural language processing, machine learning, artificial intelligence, visualization, network analysis, and distributed computing are a plus
Good understanding of end-to-end development methodologies including Agile, SDLC, etc.
Ability to refactor and modularize codebases
Familiarity with relational database concepts/structures and ability to write SQL queries
Comfort in a *nix shell environment e.g. bash
Understanding of selected real time transactional applications is a plus
Proficient oral and written English communication skills
Is a self-starter and team player
Ability and willingness to travel from time to time (domestic and international)
Authorized to work in the US",25 reviews,"New York, NY 10036",New York
