position,company,description,numreview,location,city
(Contract) Business Intelligence Analyst,Course Hero,"The Role:
We are looking for an experienced Business Intelligence Analyst Contractor to join us and support our analytics team over the next 6 months. You will work with big data sets to create dashboards and reports that facilitate evidence-based decision making. This hands-on technical role demands excellent knowledge of data mining, reporting, and visualization. You˚Ä˚ll be mining data and aggregating it into a format that allows decision makers to easily gauge the health of the business. You˚Ä˚ll also provide training to the decision maker on how to interpret the dashboards or reports. The ideal candidate will have a great attention to detail and ensure the highest level of quality and rigor in all reports and data analyses.

The Team:
The Analytics team at Course Hero is central to our functional organization, and heavily influences the strategy and tactics of our company˚Ä˚s roadmap. The analytics team is always focused on generating insights at a high velocity to fuel Course Hero˚Ä˚s growth. We are also constantly improving and innovating ways for Course Hero to fully leverage data to drive growth and strategic initiatives.

Responsibilities:

You˚Ä˚ll create and manage operational dashboards. You˚Ä˚ll work with data scientists, BI team members, and product owners to build a suite of dashboards necessary to track key KPIs for their product group.
You˚Ä˚ll work with large datasets to summarize data for reporting purposes. You˚Ä˚ll identify ways to design, build, and automate key dashboards and reports.
You˚Ä˚ll integrate multiple data sources into one visualization to tell a story.
You˚Ä˚ll work on operational ad-hoc data requests for data scientists that support operational decision making.
You˚Ä˚ll support the finance team˚Ä˚s reporting process by providing them financial data around product usage
You'll effectively communicate data findings to internal and external team members

Requirements:

You have 4+ years of working experience in a business intelligence or data analyst role, where you gained significant experience analyzing data and creating reports using database queries
You have a MS or BS degree in a scientific or quantitative field
You have a deep understanding of data mining and data visualization techniques. You are able to create reports and dashboards that facilitate self-service reporting solutions for stakeholders.
You are proficient in SQL and have experience working with large datasets
You have knowledge",19 reviews,"Redwood City, CA",San Francisco
Senior Business Recruiter,Square,"Job Description

People are the lifeblood of any company and as a Recruiter at Square, you˚Ä˚ll be charged with identifying uniquely talented, amazing individuals to drive us forward. You will design and execute strategies to engage the world˚Ä˚s best through a number of channels (social and professional networks, start-up and entrepreneurial communities, etc.) and any other creative methods you can conceive. Throughout the entire process, you will provide an unparalleled experience, while serving as an advisor to candidates and internal partners alike.
We are looking for a highly motivated recruiter to join our team!
You will:
Build relationships and collaborate with senior management and hiring managers to understand hiring needs and team goals
Manage the full cycle recruitment process, ensuring a smooth and positive candidate experience
Partner with the broader recruiting team to build efficient and scalable recruiting processes
Engage active and passive candidates from a variety of sources and communities: online and internal databases, employee referrals, events, networking and research Qualifications

You have:
A BachelorÅEÄÅEs Degree or equivalent work experience
5+ years of technical recruiting/sourcing experience in a startup or agency environment
A passion for building effective, cohesive teams
The proven ability to navigate ambiguity and solve challenging problems
The desire to improve as a recruiter and strategic business partner
A positive, team-oriented approach to your work
Superior communication skills

Even better:
Experience recruiting for a variety of technical roles (e.g. Product Managers, Data Scientists, Network Engineers, etc.)
Experience building recruiting processes
An elite professional network ready to follow wherever you go!

#LI-LS1
Additional Information

At Square, our purpose is to empower ÅEÄÅE within and outside of our walls. In order to build the best tools for the businesses and customers we support all over the world, we have to start at home with a workf",52 reviews,"San Francisco, CA 94103",San Francisco
Biomarker Associate I,Unicon Pharma,"Job SummaryThe Biomarker Associate I serve as a Bio-sample point of contact on assigned studies. Collaborate with biomarker scientists, clinical operation teams, project managers and laboratory managers to coordinates all aspects of bio sample operations with minimal supervision. Ensure all sample collections, storage and transfers are following protocols, regulatory requirements (ICH/GCP/GLP), ICF status, and project timelines. Identifies immediate needs on studies, projects, and tasks, and works closely with the lead Biomarker scientists on exploratory analysis activities and biomarker strategy. As part of the team, contributes to innovation and continuous improvement activities in bio-sample collection, processing, and transfers.Job ResponsibilitiesTrack Clinical and laboratory samples and follows up with sites/study team, vendors, and/or CRO to resolve queries, discrepancy, reconciliation, and data entry as needed.Execute and maintain processes for sample management, able to organize and manage large datasets, and provide regular summaries to team.Manage clinical bio-samples and storage equipment, including LN2 freezers at sponsor.Collaborate with Clinical Operations, Discovery, CQA and IT, contribute to the development and efficiency of departmental Laboratory Information Management System (LIMS).Assist in the planning and organization of collection and shipping of bio-samples from investigator sites or centralized locations and subsequent delivery to analytical laboratories or sponsor. Partner with Biomarker Leads to ensure the delivery of bio-sample data in accordance with study timelines.Provide operation support for Senior Biomarker Associates and Biomarker Leads.Support relationships with laboratory vendors, provide input into trial-specific agreements and assess service level commitments of labs involved in sample analysis. Ensure issues are resolved or escalated in a timely manner.Assist to review laboratory vendor invoices to ensure appropriate work has been completed.Contributes to functional process and system improvements to ensure samples are collected, processed, and analyzed appropriately.Participate in the review of SOPs and working practices.Develops independence in performing routine work and develops leadership skills.Apply and adhere to ICH/GLP/GCP, biobanking policies, bio-sample management best practices, and ethical guidelines.Contributes to a positive and motivating work environment that encourages mutual respect, innovation, and accountability at all levels.Education & Qualifications BA/BS in Biology, Pharmacology or equivalent, with/or 2+ years relevant industry experience. Experience in clinical research or bio-sample handling at either an investigational site, pharmaceutical/biotech company, or equivalentProficiency in MS office including Word, Excel, PowerPoint, and other applications.Previous experience and proficiency in utilizing LIMS preferred.Previous HIPAA and/or Human Subject Protection knowledge preferred.Knowledge of processing and storage management of human bio-specimen preferred.Effective team player and ability to collaborate with cross functional clinical study teams.Ability to oversee bio-sample management activities across multiple clinical trials.Demonstrated ability to balance multiple priorities in a fast paced, team-based environment and work independently when necessary.Excellent written and interpersonal communication skills necessary to interface with outside vendors, consultants, and team members.Hands-on experience in handling clinical biological samples.Demonstrated strengths in planning, organizational, analytical skills, time management, problem solving, and attention to detail. Proven critical reasoning skills including the identification and resolution of complex problems.Job Types: Full-time, ContractSalary: $35.00 to $50.00 /hourExperience:biosamples / biomarker: 3 yearsEducation:Bachelor's",0 reviews,"San Francisco Bay Area, CA",San Francisco
Business Insights Analyst,Feedzai,"Feedzai is AI. We˚Ä˚re coding the future of commerce with a leading platform powered by artificial intelligence and big data. Founded and developed by data scientists and aerospace engineers, Feedzai has one critical mission: make commerce safe. The world˚Ä˚s largest banks, payment providers and retailers use Feedzai˚Ä˚s machine learning technology to manage risks associated with banking and shopping, whether it˚Ä˚s in person, online or via mobile devices.

We want your incredible talent to drive growth and help our customers be successful. Backed by years of hardcore work and funding from amazing investors (Citi, Capital One, Oak HC/FT, Sapphire Ventures, Data Collective) we˚Ä˚re building an incredible company. We˚Ä˚re data people so you should have a desire and willingness to dig into the numbers, too.

You

The Operations team at Feedzai is responsible for both people operations and internal operations. As the Business Insights Analyst, you are part analyst, part researcher, part marketer, part writer by providing analysis, strategic perspectives, and market understanding internally and externally. You will be researching and analyzing our internal data, then develop insights to help our teams make better decisions and showcase our thought leadership to clients and external parties.

This is not your typical Business Analyst role - you will get to showcase both your analytical and presentation/communication skills as your insights will be used for internal and external content (e.g. social media, e-books, Marketing collateral, Sales collateral, tradeshows, etc).

This position will be based in our San Mateo, CA office and will report to the SVP of Operations.

Your day-to-day

",0 reviews,"San Mateo, CA",San Francisco
Senior Data Science Engineer,Sojern,"The Company

Want to be part of a fantastic and fun startup that˚Ä˚s revolutionizing the online travel advertising space? Want to join a data science team that's growing fast and making a big impact on the business? Come join us at Sojern!

On the Deloitte Fast 500 for five years running, Sojern applies technology to the travel advertising space, delivering $10B in bookings for the thousands of hotel, airline, and cruise companies that make up our customer base.

The Team

It is an exciting time to join the data science team at Sojern: business is booming, and the team plays a key role in Sojern's mission by automating, analyzing, modeling, and optimizing the way we target potential travelers with the most relevant and timely travel ads.

The data science team collaborates with product to define projects, analyze data sets, and build solutions. Example projects include:


Delivering a better understanding of why a traveler books a hotel or flight, and utilizing those insights in production models which are used to improve ad relevance, timeliness, and performance for millions of ads per day
Analyzing, visualizing, and improving our ML pipeline that pushes thousands of models into production each month
Applying ideas from game theory to better understand the value of our audience targeting methods
Optimizing automated campaign management which allocates budget for over 40 million display ad impressions daily for over a thousand customers and millions of ad spend per year

As a part of engineering, we also drive our solutions to production including:


Creating data processing jobs using Google's big data infrastructure such as BigQuery
Deploying our codebase to production with docker/containers on Google Cloud's Kubernetes platform
Building and improving internal data science tools like our Jupyter server to scale our impact

The Role

Day-to-day responsibilities include:

Collaborating with the team to discover new insights in our unique traveler profile data, and utilizing those insights to improve conversion models
Adding new features to our automated campaign management systems and our A/B testing platform
Mentoring more junior data science engineers by reviewing their code, helping them debug, and supporting their growth
Representing the team and its capabilities across the business
Contributing to our production code base, driving additional efficiency and impacting Sojern's bottomline

Requirements


Python Proficiency -- ItÅEÄÅEs our lingua franca, and weÅEÄÅEre big Jupyter fans
MS of PhD in CS or STEM -- Ability to transform concepts into practical solutions
Production Machine Learning Experience -- Successful implementation of ML solutions in production setting
Communication Ability -- Experience/comfort in presenting abstract concepts
Experience as a Data Scientist -- 4+ years of experience with data science/ML
Ad Tech Experi",0 reviews,"San Francisco, CA 94111",San Francisco
Greenhouse Gas Verifier,"Rincon Consultants, Inc.","Job Description:
Rincon Consultants, Inc.is a highly qualified professional consulting firm comprised of environmental scientists, geologists, engineers, biologists, planners, soil scientists, wetland scientists, GIS professionals, architectural historians, LEED accredited professionals, and visual information specialists. We provide a wide range of services in environmental impact assessment, urban planning, soil and groundwater assessment & remediation, and biological & cultural resources, focusing on California's unique and challenging regulatory and policy environment.
Recognized as a 'Best Places to Work' in 2015 and 2017, we invest in our employees through competitive salaries, benefits and incentive programs designed to further the professional development of each employee in line with the firm's business goals and needs.
We have an immediate opening for a CARB Accredited Lead Greenhouse Gas Verifier in our Oakland office.
This position requires the following tasks and responsibilities:
Participation in facility GHG verifications as the LEAD verifier
Facility compliance audits and data collection
Interviews of facility staff
Review of facility equipment and data systems
Developing verification reports and sampling and verification plans
Working closely with project managers and clients on GHG projects
Balancing the workload of many projects running simultaneously
Required Experience:
At least 3 years of experience supporting GHG and GHG verification projects
Working knowledge of CARBs Mandatory Reporting Requirements
Specialization in oil and gas systems, process emissions, or transactions sectors
B.S. degree in science related subject
Strong written, verbal, and data analysis skills are required
Keyword: CARB, GHG, Verifier
From: Rincon Consultants, Inc.",0 reviews,"Oakland, CA 94612",San Francisco
Lead Data Scientist,Skillz Inc.,"About Skillz:
Today, people spend more time playing video games than they do playing all physical sports, and eSports are poised to become bigger than the NFL, NBA, MLB and NHL combined. Skillz provides the technology that powers an eSports industry forecast to exceed as much as $40 billion in revenue by 2020.

As the eSports provider for over 8,000 game developers, Skillz enables any mobile game to be turned into a competitive eSport that can also be broadcast on major streaming sites like Twitch and YouTube. We do this by integrating our unique layer of code directly into a mobile app, which activates our end-to-end tournament administration and other important features like player matching, anti-cheating mechanisms, customer support and a built-in loyalty program. Using our patented technology stack, we˚Ä˚ve already hosted more than 500 million tournaments for 15 million players around the world.

Skillz has raised over $53 million in funding from sources including Telstra, Liberty Global, and the owners of the New England Patriots, Milwaukee Bucks, New York Mets and Sacramento Kings. In our quest to make gaming better for players and developers, we˚Ä˚re looking for savvy, driven and enthusiastic teammates to help us build the future of sports. If you˚Ä˚re excited about defining a multibillion dollar industry, building an awesome product, or working with cutting-edge technology, Skillz just might be for you!

Our Culture:
We are true believers in electronic sports, so don˚Ä˚t be surprised if you see us playing mobile games at our desks or in the kitchen. At Skillz, this type of behavior is encouraged! You can also catch us at our weekly game nights playing anything from Super Mario Kart to Codenames over dinner, while discussing new technologies or brainstorming ideas to improve our business.

Not a ˚Ä˚gamer˚Ä˚? Don˚Ä˚t worry about it. Every Skillzian brings a unique perspective to the team, and we bond over plenty of activities that don˚Ä˚t involve games. We˚Ä˚re working to build a truly groundbreaking company, and we want top-notch people to join us in that mission. As the creators and leaders of a new marketplace, we work with a ˚Ä˚do whatever it takes˚Ä˚ mentality, and frankly, we get the job done!

Our team is comprised of passionate, intelligent and creative individuals who consistently seek out new challenges and knowledge. We embrace out-of-the-box strategies to propel our business forward, and foster a culture where every person˚Ä˚s voice is heard. Our team comes from diverse backgrounds, and our leaders have a strong history of funding and building successful enterprises. If you're up for the challenge, we˚Ä˚d love to meet you.

Who we˚Ä˚re looking for:
You pay attention to detail, take pride in doing things the ˚Ä˚right˚Ä˚ way and you˚Ä˚re excited to play a big role on a small team. You grew up with a computer strapped to your hip and wouldn't have it any other way.

Your skillz:

4+ years performing quantitative, statistical or financial analysis
Excellent analytical and problem solving skills
Working knowledge of statistical mathematics
Prior experience in statistical algorithm design
Programming experience (Python, R or any other relevant language)
Basic understanding of optimization methodologies
Experience building and training predictive models
Ability to produce ad-hoc reports using SQL
Good understanding of A/B testing methodologies

Bonus:

Ability to build visualizations (like Tableau or Spark)
Experience working within AWS, Redshift, MySQL

Skillz embraces diversity and is proud to be an equal opportunity employer. As part of our commitment to diversifying our workforce, we do not discriminate on the basis of age, race, sex, gender, gender i",0 reviews,"San Francisco, CA",San Francisco
Assessment Manager,University of California San Francisco,"The Assessment Manager is an integral member of the Curriculum Support group within the Learner Success Center at the School of Dentistry (SOD) providing extensive knowledge and coordination in the assessment area. The Manager will coordinate all aspects of student assessment (grades, competencies). Working with faculty and administrative offices (including clinical admins), the Manager will design, implement and be in compliance of high quality assessments that reflect accurate and timely evaluations of student performance. The Manager will ensure thorough and accurate data collection, maintenance, and reporting. Reporting to the Director of Curriculum Support, the Manager will recommend and streamline the approach to technical assessment systems. The Manager will serve as the first point of contact to end-users with technical issues and/or issues. Along with the course support staff, the Assessment Manager will serve as an integral member of the service team to serve faculty, course support staff and leadership.

SCHOOL OF DENTISTRY
MISSION: Advancing health through excellence in patient care, education and discovery.
VISION: To be the preeminent innovator in oral and craniofacial health worldwide.
VALUES: Through our values, we demonstrate LEADERSHIP in all that we do.
Leadership, Excellence, Accountability, Diversity, Engagement, Respect, Social responsibility, Honesty, Innovation, and Partnership.

The School is committed to providing outstanding, integrated patient-centered care, preparing the next generation of clinicians and scientists for a rapidly evolving health care system, leading the world in scientific discovery and its translation into improved patient care and public health, creating and maintaining a supportive work and learning environment that attracts the best faculty, staff, students and trainees who can meet the changing needs of the School, society and profession, and optimizing resources to support strategic objectives and maximize stakeholder value.

We provide comprehensive oral health care services with over 120,000 patient visits per year. We offer a four-year DDS program as well as a two-year program for international dentists that culminates in the DDS degree. We have numerous specialty residencies, PhD and MasterÅEÄÅEs degree pr",269 reviews,"San Francisco, CA",San Francisco
Quality Assurance Specialist,Proteus Digital Health,"The Company:
Proteus Digital HealthÇn is a privately held company, funded by leading institutional and corporate investors, including Novartis, Otsuka, Oracle and Kaiser Permanente Ventures. Armed with an intellectual property portfolio that includes more than 440 issued patents and led by some of the brightest minds in technology, pharmaceuticals, and healthcare, Proteus is enabling a new category of therapy: Digital Medicine. These offerings include widely used drugs, formulated so they communicate when they have been taken; a wearable patch that detects medicines and captures physiologic response; mobile applications to support patient self-care and physician decision-making; and data analytics to serve the needs of health system managers. The FDA granted its first approval of a Digital Medicine, Abilify MyciteÇn on November 13, 2017. Abilify MyciteÇn is a drug-device combination product of Otsuka˚Ä˚s aripiprazole, an atypical antipsychotic, embedded with Proteus˚Ä˚ ingestible sensor that communicates with Proteus˚Ä˚ wearable sensor patch and a smartphone application.
The Product: Proteus Discover
Proteus Discover is a Digital Medicine offering that measures medication treatment effectiveness and helps physicians, care teams, and patients improve clinical outcomes. Proteus Discover provides the tools needed for health organizations to build patient engagement, efficiency and measurement into the delivery of care, and an opportunity to mitigate the high costs of uncontrolled diseases.

Join Us:
Come to join our unique collection of innovative scientists, engineers, market makers, designers, doctors, developers, clinicians, and other digital health industry pioneers, and assist us with achieving our compelling vision, ˚Ä˚Healthcare for Everyone, Everywhere.˚Ä˚
Learn more about what we do (video): https://youtu.be/D65XJqKNVvI

Essential Responsibilities
Oversee and perform Supplier Audit / Management function processes - Submissions, files, assessments, and approvals, which includes:
Managing supplier documents, files, and records
Maintaining an Approved Supplier List
Coordinating the scheduling and tracking supplier assessments to maintain records and documentation
Interfacing with suppliers, partners, contract manufacturers, including supplier and contract manufacturer qualification, audit suppliers
Data entry of records, logs, and files for record keeping
Ensure prompt, accurate, complete, and timely processing of requests
Review, maintain and file records in a timely manner
Maintain hardcopy files & records and electronic record systems
Follow up with the information source(s) to ensure information is gathered in a timely manner
Work / Collaborate with a variety of personnel both internal and external to ensure the information being processed is accurate, complete, and consistent
Knowledgeable of Document Control and Good Documentation Practices to perform and execute job responsibilities with a very high level of accuracy daily
Perform other related duties and responsibilities to su",14 reviews,"Redwood City, CA 94065",San Francisco
Process Associate III,Natera,"POSITION SUMMARY

The Process Associate III (PA-III) within the Process Development - Reagents team (PDO-RGT) works under the guidance of the Reagents QC Development Manager and collaboratively with Scientists within the team to modify existing methods and/or develop and optimize new QC methods to support routine lot release of reagents and kits used in the CLIA laboratory for molecular and genetic based tests. The Process Associate works hands on at the bench to carry out experiments and studies to support bio-chemical verification and validation efforts. The PA-III also supports investigation efforts required for resolving reagent preparation and qualification issues that arise for the CLIA lab. The PA-III works hands-on to design and carry out experiments and studies with minimal guidance to support process improvement and technical transfer efforts.

PRIMARY RESPONSIBILITIES
Designs and executes QC assay development studies and other experiments hands on in the laboratory as well as use liquid handlers.
Interacts with Scientists, Research and Process Associates, and Automation Engineers and works as a team.
Produces and documents competent, reproducible results to a high technical standard.
Writes and revises SOPs, summarize data in spreadsheets, graphs, and presentations.
Maintains accurate and well-organized laboratory records, worksheets, and notebooks.
Isolates human plasma, nucleic acid extraction, sample preparation, and PCR for NGS, Sanger Sequencing, and Capillary Electrophoresis.
Designs and develops reagent Quality Control (QC) Tests and associated bio-chemical process optimizations to support routine reagent and kit qualification.
Analyzes data and prepares documentation for QC method validation, authors and revises QC testing SOPs and reports to ensure the successful implementation of assays in the laboratory.
Oversees technical transfer of new product QC methods from Research and Development into Operations, addressing process development needs for implementation and training end users in new and updated methods.
Participates in troubleshooting efforts and helps drive key decisions.
Builds rapport with end-users, lab supervisors, and process owners and works collaboratively within cross functional teams.
This role works with PHI on a regular basis both in paper and electronic form and have an access to various technologies to access PHI (paper and electronic) in order to perform the job.
Employee must complete training relating to HIPAA/PHI privacy, General Policies and Procedure Compliance training and security training as soon as possible but not later than the first 30 days of hire.
Must maintain a current status on Natera training requirements.
Employee must pass post offer criminal background check.


QUALIFICATIONS
Bachelors in Molecular Biology, Biochemistry, Molecular Genetics, or equivalent
Minimum of 5 years of experience as a Research Associate or equivalent in Industry
KNOWLEDGE, SKILLS, AND ABILITIES
Strong data analysis and presentation skills.
Ability to handle multiple tasks and priorities.
Strong and effective communication skills, including writing protocols and summarizing results in a report or presentation.
Experience in library construction for NGS, with emphasis on Process Development and optimization of diagnostic assays in a CLIA or FDA regulated laboratory environments.
Hand-on laboratory experience, particularly in reagent preparation and qualification assay development.
Strong understanding of essential molecular biology methods such as PCR, nucleic acid purification, gel electrophoresis, analysis tools and instrumentation, DNA quantitation, and quality control are required.
PHYSICAL DEMANDS AND WORK ENVIRONMENT
Duties are typically performed in a mixture of office and laboratory settings.
This position requires the ability to use a computer keyboard, communicate over the telephone and read printed material while in the office.
This position requires the ability to function independently and collaboratively in a busy laboratory setting, following all required safety rules and expectations. Occasional lifting of received materials up to 50 pounds may be required on rare occasions.
Duties may require working outside normal working hours (evenings and weekends) at times.


OUR OPPORTUNITY

Driven by the passion for elevating the science and utility of genetic testing, Natera is committed to helping families identify and manage genetic diseases. Natera is a rapidly-growing diagnostics company with proprietary bioinformatics and molecular technology for analyzing DNA. Our complex technology has been proven clinically and commercially in the prenatal testing space and we are actively researching its applications in the liquid biopsy space for developing products with oncology applications.

The Natera team consists of highly dedicated statisticians, geneticists, doctors, laboratory scientists, business professionals, software engineers and many other professionals from world-class institutions, who care deeply for our work and each other. When you join Natera, youÅEÄÅEll work hard and grow quickly. Working alongside the elite of the industry, youÅEÄÅEll be stretched and challenged, and take pride in being part of a company that is changing the landscape of genetic disease management.

WHAT WE OFFER

Competitive Benefits. Healthy catered lunches, Premium snacks and beverages, Onsite gym with cardio and weight-training equipment, Game room with satellite TV, Onsite dry cleaning and alteration service with pick-up and delivery, Employee-organized sport leagues, Happy hours and BBQs, Generous Employee Referral program.

For more information, visit www.natera.com.

Natera is proud to be an Equal Opportunity Employer.",34 reviews,"San Carlos, CA 94070",San Francisco
Clinical Laboratory Accessioner,uBiome,"uBiome is a great place to work.
--------------------------------

uBiome˚Ä˚s mission is to transform information about the microbiome into useful products and services that improve people˚Ä˚s lives.

In this job, you˚Ä˚ll be a vital part of our Lab Operations Dream Team, working closely with Clinical Laboratory Scientists and Technicians, as well as our Customer Operations team. Our Accessioner is the Doyen of Data-- all patient information is complete and accurate due to your diligence, and all the data is entered into our LIMS.

You will...


Comply with HIPAA and PHI practices
Ensure that working practice within the laboratory is in line with Company Health and Safety regulations
Perform data entry using semi-automated methods
Adhere to correct procedures, policies and health/safety guidelines
Keep abreast of all industry developments and best practices
Document all activities appropriately and accurately
Maintain work area and equipment
Collaborate with the Clinical Laboratory teams
Have many opportunities for growth, including gaining peripheral knowledge from working cross-functionally throughout the company

You thrive off the adrenaline that comes with busy periods, and use the peace of quieter times to think about how to best optimize your throne in the lab. Of course, you have a B.A. or B.Sc. and are as tech-savvy as one might expect, given we˚Ä˚re in the center of the tech universe. You can lift a 20-lb frenchie (you know how they love to eat) with ease, or maybe just a box of pipette tips if there are no frenchies nearby. Although it˚Ä˚s not required, you do get brownie points if you˚Ä˚ve been an Accessioner in a clinical lab before. What is required is your compliance with all lab regulations and procedures. No t is left uncrossed, no i left undotted.

Within your first month, you˚Ä˚ll˚Äf.
----------------------------------------------

Train with the Dream Team and get up to speed. You know that spending time in a clinical space means training, training, and then some more training. By the time you˚Ä˚re done, you˚Ä˚ll be a pro and might even train a newbie when they start. You˚Ä˚ll be so fast and efficient at receiving, unpacking, processing, and recording samples that we˚Ä˚ll come up with a name for your streamlined process. Also, we˚Ä˚ll be able to build WAY more awesome box forts in the office. You˚Ä˚ll be a magicia",0 reviews,"San Francisco, CA",San Francisco
Quantitative Analyst Consultant - CECL Conversion,The Situs Companies,"MountainView Financial Solutions, a wholly-owned Situs company, seeks a Quantitative Analyst with experience modelling cash flows and risks associated with debt products to assist our client with a 6-month project to convert stress test credit loss models to meet the FASB ASU 2016-13 (aka ˚Ä˚CECL˚Ä˚) accounting standards. Implementation of the CECL standards fundamentally changes the way U.S. banks, including our client, calculate and hold allowance for loan losses (aka ˚Ä˚ALLL˚Ä˚).
In this project, you will sit on-site in the San Francisco office of our client, a national bank offering a complete line of banking products to businesses and individuals. You will leverage your excellent programming skills in R and T-SQL to measure and explain changes in the allowance under the CECL framework (i.e, which proportion of the change was due to loan data changes, economic scenario changes, prepayment behavior changes, addition of new loans, additional draws on existing lines of credit).
You will work closely with our client˚Ä˚s Finance, Accounting, Credit, SOX and Technology teams, but will not be responsible for building predictive models.
Responsibilities
Propose and develop a data monitoring program and change management process for Risk Data Mart, Moody˚Ä˚s Data Buffet, and Current Expected Credit Loss models ÅEÄÅE all of these components are sources of allowance changes
Measure, monitor, attribute, and explain allowance changes for each month by portfolio
Standardize model inputs and outputs across all the CECL models and automate reports of allowance results and attribution of the month-over-month changes
Develop a process for model integration with a technology platform
Develop a process for model execution
Integrate and implement CECL models into a production",17 reviews,"San Francisco, CA",San Francisco
Temporary Sr. Scientist I (Pre-Formulations),Exelixis Inc.,"Responsible for all pre-formulation/formulation activities associated with small molecule lead optimization and subsequent preclinical/clinical/commercial development. Success in this position requires a highly motivated individual who can provide leadership through previous experiences in the lab to coordinate and oversee activities with contract research organizations. The qualified candidate will have proven experience in developing oral and parenteral dosage formulations and possess excellent inter-personal skills to effectively work in a team-based environment.

Exelixis is located in South San Francisco, CA and will be moving to Alameda, CA in June of 2018.
Position Requirements


ESSENTIAL DUTIES AND RESPONSIBILITIES:
Evaluate the selection of vehicles, excipients and/or new technologies appropriate to prepare formulations of investigational small molecules for in vivo studies.Evaluate physical/chemical characteristics of small molecules as they relate to formulation investigations like pH, pKa, solubility, pH-solubility profile, particle size, solid and solution state stability studies, dissolution characteristics and polymorphism.Evaluate salt form studiesCritically evaluate data sets from multiple study designs to establish predictive strategies to rank order small molecules from clinical candidacy and support preclinical/clinical development of the selected candidate.Plan & manage the technical and business activities associated with execution of formulation and process development, scale-up and technology transfer activities, via collaboration with multiple disciplines within Exelixis and with external development organizations. Use statistical tools to design and evaluate experimental investigations.Responsibilities include managing the preparation, review and approval of a broad spectrum of technical documents, including MBRs, specifications, protocols, reports etc. at contract vendors or Exelixis. Additionally, you will generate appropriate sections of drug product CMC dossier for regulatory submissions (IND/NDA, CTA/MAA).Knowledge of basic pharmaceutics principles, an understanding of the role pre-formulation plays in the drug discovery/lead optimization.Evaluate the selection of vehicles, excipients and/or new technologies appropriate to prepare formulations of investigational small molecules for in vivo studies.Critically evaluate data sets from multiple study designs to establish predictive strategies to rank order small molecules from clinical candidacy and support preclinical/clinical development of the selected candidate.Plan & manage the technical and business activities associated with execution of formulation and process development, scale-up and technology transfer activities, via collaboration with multiple disciplines within Exelixis and with external development organizations. Use statistical tools to design and evaluate experimental investigations.Responsibilities include managing the preparation, review and approval of a broad spectrum of technical documents, including MBRs, specifications, protocols, reports etc. at contract vendors or Exelixis. Additionally, you will generate appropriate sections of drug product CMC dossier for regulatory submissions (IND/NDA, CTA/MAA).
SUPERVISORY RESPONSIBILITIES:
None
EDUCATION/EXPERIENCE/SKILLS:

Education:
BS/BA degree in related discipline and eight years of related experience; or,MS/MA degree in related discipline and six years of related experience; or,PhD in related discipline and three years of related experience, or;Equivalent combination of education and experience.May require certification in assigned area.
Experience:
Strong experience with solid-state characterization & analytical instrumentation.Knowledge of basic pharmaceutics principles, an understanding of the role pre-formulation plays in the drug discovery/lead optimization.Strong knowledge of and experience of the various phases of drug development for oral dosage forms is essential.
Knowledge/Skills/Abilities:
Strong knowledge of and experience of the various phases of drug development for oral dosage forms is essential.Has extensive experience in relevant industry/profession.Uses broad expertise or unique knowledge and skills to contribute to development of company objectives and principles and to achieve goals in creative and effective ways.Identifies and implements methods, techniques, procedures and evaluation criteria to achieve results.Has complete understanding and wide application of technical principles, theories, concepts and techniques.Has good general knowledge of other related disciplines.Applies strong analytical and business communication skills.Proficient with broad use computer applications such as MS Office and specialized applications as needed for job.
JOB COMPLEXITY:
Works on very complex problems where analysis of situations or data requires an in-depth evaluation of various factors. May work on significant and unique issues where analysis of situations or data requires an evaluation of intangibles.Exercises independent judgment in methods, techniques and evaluation of criteria for obtaining results.Creates formal networks involving coordination among groups.
DISCLAIMER
The preceding job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to the job.
We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.",0 reviews,"Alameda, CA",San Francisco
